ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Large,Classify_Red,Classify_Small,Classify_Tiny,Classify_White,Intensity_IntegratedIntensityEdge_SubtractedRed,Intensity_IntegratedIntensity_SubtractedRed,Intensity_LowerQuartileIntensity_SubtractedRed,Intensity_MADIntensity_SubtractedRed,Intensity_MassDisplacement_SubtractedRed,Intensity_MaxIntensityEdge_SubtractedRed,Intensity_MaxIntensity_SubtractedRed,Intensity_MeanIntensityEdge_SubtractedRed,Intensity_MeanIntensity_SubtractedRed,Intensity_MedianIntensity_SubtractedRed,Intensity_MinIntensityEdge_SubtractedRed,Intensity_MinIntensity_SubtractedRed,Intensity_StdIntensityEdge_SubtractedRed,Intensity_StdIntensity_SubtractedRed,Intensity_UpperQuartileIntensity_SubtractedRed,Location_CenterMassIntensity_X_SubtractedRed,Location_CenterMassIntensity_Y_SubtractedRed,Location_CenterMassIntensity_Z_SubtractedRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_SubtractedRed,Location_MaxIntensity_Y_SubtractedRed,Location_MaxIntensity_Z_SubtractedRed,Number_Object_Number
1,355,29,36,653,328,647,322,649.6551724137931,324.37931034482756,0.8554976133093813,30,0.6524626290814394,6.076507779746499,1,0.8055555555555556,1.1689103329366752,6.989038492102755,6.4031242374328485,2.8284271247461903,1.412324735490971,1.0,4.743416490252569,5.296439445639702,-52.475838676962184,17.65685424949238,0.9666666666666667,0,1,1,0,0,13.504515647888184,22.425932943820953,0.7163877785205841,0.08431893587112427,0.02295029963593864,0.9264891147613525,0.9264891147613525,0.8440322279930115,0.7733080325455501,0.7742236852645874,0.7336450815200806,0.5776786804199219,0.05807572217879987,0.10060940257063845,0.8639268428087234,649.6335608812435,324.3870341984147,0.0,649.6551724137931,324.37931034482756,0,648.0,323.0,0.0,355
1,356,23,30,711,327,706,321,707.9565217391304,323.60869565217394,0.7858693442525694,24,0.6577921667504072,5.4115163798060095,1,0.7666666666666667,1.27247615308253,6.193882567696608,5.385164807134504,2.23606797749979,1.3279653811680459,1.0,4.0,4.665229164899034,23.090594456663332,15.071067811865476,0.9583333333333334,0,1,1,0,0,11.157927989959717,18.22374588251114,0.7299386411905289,0.07297778129577637,0.015862179920578635,0.9254401922225952,0.9254401922225952,0.8583021530738244,0.7923367775004843,0.8129022121429443,0.7876332998275757,0.6231505870819092,0.03990121691281632,0.08458283151728849,0.8621761500835419,707.9407657925377,323.60686292229695,0.0,707.9565217391304,323.60869565217394,0,708.0,321.0,0.0,356
1,357,16,20,564,328,560,323,561.5,325.0,0.6758228726291923,16,0.5773502691896258,4.51351666838205,1,0.8,1.4796776500174416,4.898979485566356,4.123105625617661,2.0,1.2285533905932737,1.0,3.0,4.0,0.0,11.65685424949238,1.0,0,1,1,0,0,8.193869531154633,12.197666943073273,0.7069989442825317,0.08015596866607666,0.022738456745861956,0.8875389099121094,0.8875389099121094,0.8193869531154633,0.7623541839420795,0.7734534740447998,0.7499934434890747,0.6303801536560059,0.04497594685642109,0.08420467786752815,0.8536094427108765,561.4874099878954,324.9810651376982,0.0,561.5,325.0,0,561.0,323.0,0.0,357
1,358,4,6,841,326,839,323,839.75,324.0,0.42487609137905596,4,0.7905694150420949,2.256758334191025,1,0.6666666666666666,2.3536273758173025,2.8284271247461903,2.0,1.0,1.0,1.0,1.0,1.7320508075688772,0.0,4.621320343559642,1.0,0,1,0,1,0,3.341008186340332,3.341008186340332,0.819825291633606,0.03149449825286865,0.005059933223508665,0.8582338094711304,0.8582338094711304,0.835252046585083,0.835252046585083,0.8513197898864746,0.8116292953491211,0.8116292953491211,0.019889400094264913,0.019889400094264913,0.8582338094711304,839.7546173951367,324.00206944107856,0.0,839.75,324.0,0,840.0,325.0,0.0,358
1,359,7,9,330,329,327,326,327.7142857142857,327.0,0.5300702784881366,7,0.377964473009227,2.985410660720923,1,0.7777777777777778,1.8865422955842652,3.0237157840738176,2.23606797749979,1.4142135623730951,1.0591733660532994,1.0,2.0,2.799416848895061,0.0,6.82842712474619,1.0,0,1,1,0,0,4.924189746379852,5.642953991889954,0.7893694490194321,0.031040191650390625,0.012968157121099026,0.8597187995910645,0.8597187995910645,0.8206982910633087,0.8061362845557076,0.8267380595207214,0.7539967894554138,0.7187642455101013,0.036368620403716745,0.04905135021961214,0.8568079769611359,327.7074196863906,326.98899860190426,0.0,327.7142857142857,327.0,0,327.0,326.0,0.0,359
1,360,7,9,411,329,408,326,409.0,326.7142857142857,0.5300702784881366,7,0.3779644730092273,2.985410660720923,1,0.7777777777777778,1.8865422955842652,3.0237157840738176,2.23606797749979,1.4142135623730951,1.0591733660532994,1.0,2.0,2.7994168488950604,90.0,6.82842712474619,1.0,0,1,1,0,0,4.7368563413619995,5.451289236545563,0.7464903444051743,0.0454176664352417,0.023676212050277864,0.8461754322052002,0.8461754322052002,0.7894760568936666,0.7787556052207947,0.7994464337825775,0.7199410796165466,0.7144328951835632,0.04114992525948827,0.046270752292697,0.8239240050315857,409.00496137783495,326.7374362595715,0.0,409.0,326.7142857142857,0,409.0,328.0,0.0,360
1,361,19,25,935,330,930,325,932.1578947368421,327.1578947368421,0.7155807854805156,19,0.5207037318817047,4.918490759365935,1,0.76,1.3974662543915228,5.271572221283754,4.47213595499958,2.23606797749979,1.2793229362823824,1.0,3.5355339059327378,4.5005385950383054,45.0,13.071067811865476,1.0,0,1,1,0,0,9.153649508953094,14.669823348522186,0.706382542848587,0.0713421106338501,0.062142144847063215,0.9081281423568726,0.9081281423568726,0.8321499553593722,0.772095965711694,0.7936065793037415,0.7317303419113159,0.6017640829086304,0.05170171141555871,0.09025824018395344,0.8492807000875473,932.1449333440788,327.21867013041407,0.0,932.1578947368421,327.1578947368421,0,933.0,329.0,0.0,361
1,362,19,20,197,330,192,326,194.10526315789474,327.57894736842104,0.7536452523252464,19,0.6322808964466017,4.918490759365935,1,0.95,1.3268842295691072,5.544698233777089,5.0,2.0,1.2849586085459523,1.0,3.0,4.2956952169149805,-77.17949708784735,13.414213562373096,1.0,0,1,1,0,0,10.409658193588257,14.318665087223053,0.6756569296121597,0.07161885499954224,0.028074276734262073,0.860036313533783,0.860036313533783,0.8007429379683274,0.7536139519591081,0.7668377161026001,0.7333718538284302,0.6313768029212952,0.044436071417255196,0.07909672315005903,0.8299330770969391,194.0863749782149,327.55817715699857,0.0,194.10526315789474,327.57894736842104,0,193.0,326.0,0.0,362
1,363,27,36,462,332,456,326,458.8888888888889,328.18518518518516,0.8589101734761474,28,0.7057427743699727,5.863230142835039,1,0.75,1.1642661024177179,7.015487199389503,6.4031242374328485,2.8284271247461903,1.375391219041165,1.0,4.242640687119285,4.970249320977574,48.18709086191829,17.071067811865476,0.9642857142857143,0,1,1,0,0,12.649821937084198,21.06960153579712,0.7306945025920868,0.06744197010993958,0.0625644856930895,0.9088224172592163,0.9088224172592163,0.8433214624722799,0.7803556124369303,0.7955771088600159,0.7661404609680176,0.626374363899231,0.04233652330616077,0.0833926948843451,0.8639550805091858,458.93001128158755,328.2323366823913,0.0,458.8888888888889,328.18518518518516,0,461.0,327.0,0.0,363
1,364,149,180,621,334,606,322,613.0671140939597,327.59060402684565,0.9594528970016808,151,0.6303967766439449,13.773623058786647,1,0.8277777777777777,1.0422606499235452,15.620173497375763,15.231546211727817,6.0,2.6327387735846473,2.23606797749979,11.0,12.125520284149792,74.4580869322356,42.384776310850235,0.9867549668874173,1,1,0,0,0,33.52600073814392,126.84225964546204,0.8136893808841705,0.03954759240150452,0.06171062183424089,0.9835505485534668,0.9835505485534668,0.9061081280579438,0.8512903331910204,0.8540781736373901,0.8317158818244934,0.7071171998977661,0.03334507787530139,0.05858786624994483,0.891827404499054,613.1285821666414,327.5960700023274,0.0,613.0671140939597,327.59060402684565,0,617.0,323.0,0.0,364
